Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
0,523.3,475.95,473.93,384.08,212.28,22.76,0
-1,525.28,476.99,473.77,383.21,211.13,22.09,0
-2,528.91,479.55,475.14,383.58,210.69,21.5,0
-3,534.08,483.54,477.99,385.18,210.95,21.01,0
-4,540.56,488.77,482.12,387.87,211.84,20.63,0
-5,547.95,494.88,487.23,391.4,213.26,20.35,0
-6,555.73,501.44,492.9,395.46,215.03,20.16,0
-7,563.34,507.93,498.66,399.69,216.99,20.06,0
-8,570.15,513.81,503.99,403.7,218.92,20.05,0
-9,575.59,518.58,508.44,407.12,220.65,20.1,0
-10,579.16,521.8,511.6,409.65,222.02,20.23,0
-11,580.52,523.16,513.16,411.04,222.9,20.41,0
-12,579.49,522.5,512.98,411.18,223.24,20.65,0
-13,576.09,519.85,511.06,410.07,223.01,20.94,0
-14,570.53,515.37,507.55,407.82,222.28,21.28,0
-15,563.18,509.39,502.75,404.63,221.16,21.66,0
-16,554.57,502.37,497.05,400.83,219.77,22.1,0
-17,545.27,494.81,490.94,396.76,218.3,22.59,0
-18,535.91,487.24,484.89,392.79,216.94,23.13,0
-19,527.06,480.18,479.38,389.28,215.85,23.74,0
-20,519.25,474.08,474.82,386.54,215.19,24.4,0
-21,512.87,469.28,471.52,384.81,215.08,25.12,0
-22,508.21,466.01,469.69,384.24,215.59,25.88,0
-23,505.4,464.38,469.41,384.87,216.71,26.69,0
-24,504.44,464.36,470.63,386.64,218.41,27.5,0
-25,505.21,465.83,473.17,389.41,220.57,28.31,0
-26,507.46,468.53,476.77,392.92,223.04,29.05,0
-27,510.89,472.15,481.09,396.87,225.64,29.7,0
-28,515.14,476.34,485.73,400.93,228.16,30.22,0
-29,519.83,480.75,490.31,404.77,230.39,30.56,0
-30,524.61,485.02,494.47,408.07,232.16,30.69,0
-31,529.18,488.89,497.92,410.61,233.33,30.6,0
-32,533.29,492.13,500.45,412.22,233.81,30.29,0
-33,536.79,494.63,501.97,412.82,233.57,29.75,0
-34,539.61,496.33,502.45,412.43,232.65,29.02,0
-35,541.72,497.27,501.97,411.13,231.11,28.12,0
-36,543.19,497.53,500.66,409.06,229.06,27.11,0
-37,544.11,497.24,498.69,406.4,226.63,26.02,0
-38,544.6,496.53,496.27,403.35,223.97,24.9,0
-39,544.77,495.56,493.58,400.09,221.2,23.78,0
-40,544.74,494.47,490.82,396.8,218.45,22.7,0
-41,544.63,493.36,488.13,393.63,215.82,21.7,0
-42,544.51,492.35,485.67,390.73,213.41,20.79,0
-43,544.47,491.51,483.53,388.19,211.29,19.98,0
-44,544.57,490.92,481.81,386.1,209.52,19.31,0
-45,544.87,490.63,480.59,384.54,208.16,18.76,0
-46,545.4,490.69,479.92,383.55,207.22,18.36,0
-47,546.2,491.12,479.85,383.18,206.75,18.09,0
-48,547.3,491.95,480.4,383.45,206.75,17.98,0
-49,548.7,493.19,481.57,384.37,207.22,18,0
-50,550.38,494.82,483.36,385.93,208.17,18.18,0
-51,552.31,496.8,485.73,388.08,209.57,18.49,0
-52,554.41,499.07,488.58,390.76,211.37,18.93,0
-53,556.57,501.5,491.81,393.87,213.52,19.5,0
-54,558.62,503.97,495.25,397.27,215.94,20.19,0
-55,560.39,506.28,498.72,400.79,218.52,20.97,0
-56,561.67,508.24,501.97,404.24,221.14,21.83,0
-57,562.22,509.63,504.77,407.39,223.66,22.74,0
-58,561.82,510.23,506.86,410.02,225.95,23.67,0
-59,560.31,509.84,508.02,411.92,227.86,24.6,0
-60,557.54,508.33,508.05,412.92,229.28,25.48,0
-61,553.47,505.61,506.83,412.87,230.1,26.3,0
-62,548.12,501.7,504.33,411.74,230.27,27.01,0
-63,541.67,496.69,500.62,409.55,229.79,27.59,0
-64,534.34,490.8,495.88,406.41,228.7,28.05,0
-65,526.5,484.33,490.37,402.55,227.11,28.36,0
-66,518.57,477.63,484.45,398.24,225.16,28.54,0
-67,511,471.15,478.54,393.81,223.04,28.61,0
-68,504.28,465.3,473.08,389.62,220.94,28.58,0
-69,498.87,460.51,468.5,386.03,219.07,28.48,0
-70,495.16,457.15,465.18,383.35,217.6,28.33,0
-71,493.47,455.53,463.43,381.85,216.7,28.17,0
-72,494.01,455.83,463.46,381.7,216.45,28,0
-73,496.86,458.13,465.34,382.96,216.91,27.83,0
-74,501.96,462.38,469.04,385.61,218.06,27.67,0
-75,509.1,468.4,474.36,389.49,219.82,27.51,0
-76,517.93,475.87,481,394.36,222.04,27.33,0
-77,527.97,484.36,488.53,399.86,224.54,27.12,0
-78,538.65,493.35,496.42,405.58,227.09,26.86,0
-79,549.31,502.24,504.1,411.05,229.45,26.53,0
